seller,itemid,produk,image,harga,harga_ori,discount,ulasan,rating,brand,url
SCAR-L,6679370871,Original Nature Reaction Crystal Bright Serum NR Glow + VITAMIN C,https://id-test-11.slatic.net/p/8b6ee48160109c4a2eb42960706bfb1e.jpg,65863,145600,54.76442307692307,2,5.0,Nature Reaction,//www.lazada.co.id/products/original-nature-reaction-crystal-bright-serum-nr-glow-vitamin-c-i6679370871.html
SCAR-L,6678186141,Menlab Hydrating Skin Whitening & Moisturizing Glowing Serum Wajah Pria Promo Terbatas,https://id-test-11.slatic.net/p/481e0a0695db8f248f5129e8d554fffb.jpg,101753,164000,37.95548780487805,2,5.0,Nature Reaction,//www.lazada.co.id/products/menlab-hydrating-skin-whitening-moisturizing-glowing-serum-wajah-pria-promo-terbatas-i6678186141.html
SCAR-L,6613254992,Serum Pelembab Bibir Wanita Pria Biar Merah Permanen Agar Tidak Hitam dan Kering dan Pecah Pecah,https://id-test-11.slatic.net/p/e95af7fbdbc1dbb5a9f7132a393521c4.png,96922,128900,24.808378588052754,3,5.0,Nature Reaction,//www.lazada.co.id/products/serum-pelembab-bibir-wanita-pria-biar-merah-permanen-agar-tidak-hitam-dan-kering-dan-pecah-pecah-i6613254992.html
SCAR-L,6679392090,Nature Reaction Crystal Bright Serum Harga Grosir Original,https://id-test-11.slatic.net/p/10ce67f560e1ba6319337cc511bcabd7.png,65863,140000,52.955,2,5.0,Nature Reaction,//www.lazada.co.id/products/nature-reaction-crystal-bright-serum-harga-grosir-original-i6679392090.html
SCAR-L,6679384258,Nature Reaction Crystal Bright Serum Pencerah Perawatan Wajah Glowing,https://id-test-11.slatic.net/p/995b669089dd7b4dec6148c21fbfdcdd.jpg,65863,145000,54.57724137931035,2,5.0,Nature Reaction,//www.lazada.co.id/products/nature-reaction-crystal-bright-serum-pencerah-perawatan-wajah-glowing-i6679384258.html
SCAR-L,6603952713,SCAR-L | PARFUM INFLUENCE LOVABLE - Lovable Parfume - Lovablemart - Lovable Parfum - Lovable Farpum - Influence Lovable Parfum Wanita - Parfum Influence Lovable Wanita - Parfum Wanita Influence Lovable - Parfum Wanita Tahan Lama - Parfum Artis,https://id-test-11.slatic.net/p/5997303ad8814051f1edfa8b00c63d38.jpg,107702,166400,35.27524038461539,3,5.0,Nature Reaction,//www.lazada.co.id/products/scar-l-parfum-influence-lovable-lovable-parfume-lovablemart-lovable-parfum-lovable-farpum-influence-lovable-parfum-wanita-parfum-influence-lovable-wanita-parfum-wanita-influence-lovable-parfum-wanita-tahan-lama-parfum-artis-i6603952713.html
SCAR-L,6613244565,Jual - Terlaris Di Tiktok NR Lip Glow Serum Pencerah Bibir / Serum Nature Reaction Bibir Cantik BPOM Terlaris,https://id-test-11.slatic.net/p/c942a2d93937b652a74524e9a7e2d36e.jpg,96922,134800,28.099406528189913,2,5.0,Nature Reaction,//www.lazada.co.id/products/jual-terlaris-di-tiktok-nr-lip-glow-serum-pencerah-bibir-serum-nature-reaction-bibir-cantik-bpom-terlaris-i6613244565.html
SCAR-L,6613306214,Nature Reaction Lip Glow Serum Viral - Lip Serum - Serum Bibir - Pemerah Bibir Alami - Perawatan Bibir,https://id-test-11.slatic.net/p/099a2f4fa069f3bea6d98ca165c8f614.jpg,96922,154900,37.429309231762424,3,5.0,Nature Reaction,//www.lazada.co.id/products/nature-reaction-lip-glow-serum-viral-lip-serum-serum-bibir-pemerah-bibir-alami-perawatan-bibir-i6613306214.html
SCAR-L,6603952238,PARFUM INFLUENCE LOVABLE EAU DE PARFUME / PARFUM WANITA WANGI TAHAN LAMA ORIGINAL 50 ML ORIGINAL 100% BPOM,https://id-test-11.slatic.net/p/2ca32647d86291197bd82eab80e36c93.jpg,107702,147700,27.080568720379144,3,5.0,Nature Reaction,//www.lazada.co.id/products/parfum-influence-lovable-eau-de-parfume-parfum-wanita-wangi-tahan-lama-original-50-ml-original-100-bpom-i6603952238.html
SCAR-L,6613218691,"Nature Reaction Lip Glow Serum Pemerah Bibir Glowing, Mencerahkan Melembabkan Bibir Pink Alami Asli BPOM",https://id-test-11.slatic.net/p/9000f81ed66bcc926e3e5a9118694773.jpg,96922,125000,22.4624,3,5.0,Nature Reaction,//www.lazada.co.id/products/nature-reaction-lip-glow-serum-pemerah-bibir-glowing-mencerahkan-melembabkan-bibir-pink-alami-asli-bpom-i6613218691.html
SCAR-L,6613220902,TERLARIS Nature Reaction Lip Serum Lip Glow Pemerah Bibir Mencerahkan Bibir Alami 100% Original,https://id-test-11.slatic.net/p/438f02420f3db568145344ff701e4bb7.jpg,96922,123900,21.774011299435028,3,5.0,Nature Reaction,//www.lazada.co.id/products/terlaris-nature-reaction-lip-serum-lip-glow-pemerah-bibir-mencerahkan-bibir-alami-100-original-i6613220902.html
